Player Full Name,PlayersID,Birth Date,Year Start,Year End,POS,Height (ft),Height (in),Height (cm),HeightwithoutShoes,Wingspan (cm),Standing Reach (cm),Hand Length (inches),Hand Lenght(cm),Hand Width (inches),Hand Width (cm),Weight (lb),Weight (kg),Body Fat (%),College,LaneAgilityTime_sec,ShuttleRun_sec,3quartersprint_sec,StandingVerticalLeap_inches,MaxVerticalLeap_inches,MaxBenchPress_reps,StandingVerticalLeap_cm,MaxVerticalLeap_cm
Vinnie Johnson,6093,01/09/1956,1980,1992,G,6,2,187.96,184.96,,,,,,,200,90.718474,,Baylor University,,,,,,,,
Vinny Del Negro,6094,09/08/1966,1989,2002,G,6,4,193.04,190.04,,,,,,,185,83.91458845,,North Carolina State University,,,,,,,,
Virgil Vaughn,6095,15/05/1918,1947,1947,F-C,6,4,193.04,190.04,,,,,,,205,92.98643585,,Western Kentucky University,,,,,,,,
Vladimir Golubovic,6096,,,,C,7,0.5,214,212,221,283,,,,0,258,117.0268315,0.069,,12.4,,3.33,21.5,27,15,54.61,
Voise Winters,6097,12/10/1962,1986,1986,F,6,8,203.2,200.2,,,,,,,200,90.718474,,Bradley University,,,,,,,,
Vonteego Cummings,6098,29/02/1976,2000,2002,G,6,3,190.5,187.5,,,,,,,185,83.91458845,,University of Pittsburgh,,,,,,,,
Wah Wah Jones,6099,14/07/1926,1950,1952,F,6,4,193.04,190.04,,,,,,,225,102.0582833,,University of Kentucky,,,,,,,,
Wali Jones,6100,14/02/1942,1965,1976,G,6,2,187.96,184.96,,,,,,,180,81.6466266,,Villanova University,,,,,,,,
Walker Banks,6101,26/08/1947,1971,1971,C,6,10,208.28,205.28,,,,,,,205,92.98643585,,Western Kentucky University,,,,,,,,
Walker Russell Sr.,6102,26/10/1960,1983,1988,G,6,5,195.58,192.58,,,,,,,195,88.45051215,,Western Michigan University,,,,,,,,
Wallace Bryant,6103,14/07/1959,1984,1986,C,7,0,213.36,210.36,,,,,,,245,111.1301307,,University of San Francisco,,,,,,,,
Wally Anderzunas,6104,11/01/1946,1970,1970,C-F,6,7,200.66,197.66,,,,,,,220,99.7903214,,Creighton University,,,,,,,,
Wally Osterkorn,6105,06/07/1928,1952,1955,F-C,6,5,195.58,192.58,,,,,,,215,97.52235955,,University of Illinois at Urbana-Champaign,,,,,,,,
Wally Rank,6106,01/03/1958,1981,1981,F-G,6,6,198.12,195.12,,,,,,,220,99.7903214,,San Jose State University,,,,,,,,
Wally Walker,6107,18/07/1954,1977,1984,F,6,7,200.66,197.66,,,,,,,190,86.1825503,,University of Virginia,,,,,,,,
Walt Bellamy,6108,24/07/1939,1962,1975,C,6,11,210.82,207.82,,,,,,,225,102.0582833,,Indiana University,,,,,,,,
Walt Budko,6109,30/07/1925,1949,1952,F-C,6,5,195.58,192.58,,,,,,,220,99.7903214,,Columbia University,,,,,,,,
Walt Davis,6110,05/01/1931,1954,1958,C-F,6,8,203.2,200.2,,,,,,,205,92.98643585,,Texas A&M University,,,,,,,,
Walt Frazier,6111,29/03/1945,1968,1980,G,6,4,193.04,190.04,,,,,,,200,90.718474,,Southern Illinois University,,,,,,,,
Walt Gilmore,6112,27/02/1947,1971,1971,F,6,6,198.12,195.12,,,,,,,225,102.0582833,,Fort Valley State University,,,,,,,,
Walt Hazzard,6113,15/04/1942,1965,1974,G,6,2,187.96,184.96,,,,,,,185,83.91458845,,"University of California, Los Angeles",,,,,,,,
Walt Kirk,6114,03/09/1924,1949,1952,G-F,6,3,190.5,187.5,,,,,,,173,78.47148001,,University of Illinois at Urbana-Champaign,,,,,,,,
Walt Lautenbach,6115,17/11/1922,1950,1950,G-F,6,2,187.96,184.96,,,,,,,185,83.91458845,,University of Wisconsin,,,,,,,,
Walt Miller,6116,30/07/1915,1947,1947,F,6,2,187.96,184.96,,,,,,,190,86.1825503,,Duquesne University,,,,,,,,
Walt Szczerbiak,6117,21/08/1949,1972,1972,F,6,6,198.12,195.12,,,,,,,210,95.2543977,,George Washington University,,,,,,,,
Walt Wesley,6118,25/01/1945,1967,1976,C,6,11,210.82,207.82,,,,,,,220,99.7903214,,University of Kansas,,,,,,,,
Walt Williams,6119,16/04/1970,1993,2003,F-G,6,8,203.2,200.2,,,,,,,219,99.33672903,,University of Maryland,,,,,,,,
Walter Berry,6120,14/05/1964,1987,1989,F,6,8,203.2,200.2,,,,,,,215,97.52235955,,St. John's University,,,,,,,,
Walter Bond,6121,01/02/1969,1993,1995,G,6,5,195.58,192.58,,,,,,,200,90.718474,,University of Minnesota,,,,,,,,
Walter Byrd,6122,1899-12-31,1970,1970,F,6,7,200.66,197.66,,,,,,,205,92.98643585,,Temple University,,,,,,,,
Walter Davis,6123,09/09/1954,1978,1992,G-F,6,6,198.12,195.12,,,,,,,193,87.54332741,,University of North Carolina,,,,,,,,
Walter Dukes,6124,23/06/1930,1956,1963,C,7,0,213.36,210.36,,,,,,,220,99.7903214,,Seton Hall University,,,,,,,,
Walter Jordan,6125,19/02/1956,1981,1981,F,6,7,200.66,197.66,,,,,,,198,89.81128926,,Purdue University,,,,,,,,
Walter Palmer,6126,23/10/1968,1991,1993,C-F,7,1,215.9,212.9,,,,,,,215,97.52235955,,Dartmouth College,,,,,,,,
Walter Piatkowski,6127,11/06/1945,1969,1972,F,6,8,203.2,200.2,,,,,,,220,99.7903214,,Bowling Green State University,,,,,,,,
Walter Simon,6128,01/12/1939,1968,1974,F-G,6,6,198.12,195.12,,,,,,,200,90.718474,,Benedict College,,,,,,,,
Wang Zhizhi,6129,08/07/1977,2001,2005,C,7,0,213.36,210.36,,,,,,,255,115.6660544,,,,,,,,,,
Ward Williams,6130,26/06/1923,1949,1949,F,6,4,193.04,190.04,,,,,,,195,88.45051215,,Indiana University,,,,,,,,
Wardell Jackson,6131,18/07/1951,1975,1975,F,6,7,200.66,197.66,,,,,,,200,90.718474,,Ohio State University,,,,,,,,
Warren Davis,6132,30/06/1943,1968,1973,F-C,6,6,198.12,195.12,,,,,,,212,96.16158244,,North Carolina Agricultural and Technical State University,,,,,,,,
Warren Fenley,6133,08/02/1922,1947,1947,F,6,3,190.5,187.5,,,,,,,190,86.1825503,,Manhattan College,,,,,,,,
Warren Jabali,6134,29/08/1946,1969,1975,G-F,6,2,187.96,184.96,,,,,,,200,90.718474,,Wichita State University,,,,,,,,
Warren Kidd,6135,09/09/1970,1994,1994,F,6,9,205.74,202.74,,,,,,,235,106.594207,,Middle Tennessee State University,,,,,,,,
Warren Perkins,6136,02/02/1922,1950,1951,G-F,6,3,190.5,187.5,,,,,,,190,86.1825503,,Tulane University,,,,,,,,
Wat Misaka,6137,21/12/1923,1948,1948,G,5,7,170.18,167.18,,,,,,,150,68.0388555,,University of Utah,,,,,,,,
Wayman Britt,6138,31/08/1952,1978,1978,G,6,2,187.96,184.96,,,,,,,185,83.91458845,,University of Michigan,,,,,,,,
Wayman Tisdale,6139,09/06/1964,1986,1997,F-C,6,9,205.74,202.74,,,,,,,240,108.8621688,,University of Oklahoma,,,,,,,,
Wayne Chapman,6140,15/06/1945,1969,1972,G-F,6,6,198.12,195.12,,,,,,,190,86.1825503,,Western Kentucky University,,,,,,,,
Wayne Cooper,6141,16/11/1956,1979,1992,C-F,6,10,208.28,205.28,,,,,,,220,99.7903214,,University of New Orleans,,,,,,,,
Wayne Embry,6142,26/03/1937,1959,1969,C-F,6,8,203.2,200.2,,,,,,,240,108.8621688,,Miami University,,,,,,,,
Wayne Englestad,6143,06/12/1966,1989,1989,F,6,8,203.2,200.2,,,,,,,245,111.1301307,,"University of California, Irvine",,,,,,,,
Wayne Hightower,6144,14/01/1940,1963,1972,F-C,6,8,203.2,200.2,,,,,,,192,87.08973504,,University of Kansas,,,,,,,,
Wayne Kreklow,6145,04/01/1957,1981,1981,G,6,4,193.04,190.04,,,,,,,175,79.37866475,,Drake University,,,,,,,,
Wayne Molis,6146,17/04/1943,1967,1968,F,6,8,203.2,200.2,,,,,,,230,104.3262451,,Lewis University,,,,,,,,
Wayne Pack,6147,05/07/1950,1975,1975,G,6,0,182.88,179.88,,,,,,,165,74.84274105,,Tennessee Technological University,,,,,,,,
Wayne Radford,6148,29/05/1956,1979,1979,G,6,3,190.5,187.5,,,,,,,205,92.98643585,,Indiana University,,,,,,,,
Wayne Robinson,6149,19/04/1958,1981,1981,F,6,8,203.2,200.2,,,,,,,217,98.42954429,,Virginia Polytechnic Institute and State University,,,,,,,,
Wayne Sappleton,6150,17/11/1960,1985,1985,F,6,9,205.74,202.74,,,,,,,215,97.52235955,,Loyola University of Chicago,,,,,,,,
Wayne See,6151,03/11/1923,1950,1950,G,6,3,190.5,187.5,,,,,,,190,86.1825503,,Northern Arizona University,,,,,,,,
Wayne Stevens,6152,19/06/1936,1960,1960,F,6,3,190.5,187.5,,,,,,,185,83.91458845,,University of Cincinnati,,,,,,,,
Wayne Turner,6153,22/03/1976,2000,2000,G,6,2,187.96,184.96,,,,,,,190,86.1825503,,University of Kentucky,,,,,,,,
Wayne Wallace,6154,,,,PF,6,8.5,205,202,220,274,,,,0,187,84.82177319,0.046,,11.85,,3.24,29.5,36,6,74.93,91.44
Wayne Yates,6155,07/11/1937,1962,1962,C,6,8,203.2,200.2,,,,,,,235,106.594207,,University of Memphis,,,,,,,,
Wendell Carter,6156,,,,PF,6,10,208,205,225,277,8.499999991,21.59,,22.86,251.4,114.0331218,0.0785,,,,,,,,,
Wendell Ladner,6157,06/10/1948,1971,1975,F,6,5,195.58,192.58,,,,,,,220,99.7903214,,University of Southern Mississippi,,,,,,,,
Wes Matthews,6158,24/08/1959,1981,1990,G,6,1,185.42,182.42,,,,,,,170,77.1107029,,University of Wisconsin,,,,,,,,
Wes Unseld,6159,14/03/1946,1969,1981,C-F,6,7,200.66,197.66,,,,,,,245,111.1301307,,University of Louisville,,,,,,,,
Wesley Bialosuknia,6160,08/06/1945,1968,1968,G,6,2,187.96,184.96,,,,,,,185,83.91458845,,University of Connecticut,,,,,,,,
Wesley Cox,6161,27/01/1955,1978,1979,F,6,6,198.12,195.12,,,,,,,215,97.52235955,,University of Louisville,,,,,,,,
Wesley Iwundu,6162,20/12/1994,2018,2018,F,6,7,200.66,196,215.9,267.97,8.749999991,22.225,9.5,24.13,193,87.72476436,0.04,Kansas State University,11.25,3.23,3.36,31.5,36,5,80.01,91.44
Wesley Wilson,6163,,,,C,6,11.5,212,209,221,281,,,,0,257,116.5732391,0.124,,12.19,,3.3,27,30.5,20,68.58,
Whitey Bell,6164,13/09/1932,1960,1961,G,6,0,182.88,179.88,,,,,,,180,81.6466266,,North Carolina State University,,,,,,,,
Whitey Kachan,6165,15/09/1925,1949,1949,G,6,2,187.96,184.96,,,,,,,175,79.37866475,,DePaul University,,,,,,,,
Whitey Martin,6166,11/04/1939,1962,1962,G,6,2,187.96,184.96,,,,,,,185,83.91458845,,St. Bonaventure University,,,,,,,,
Whitey Skoog,6167,02/11/1926,1952,1957,G,5,11,180.34,177.34,,,,,,,180,81.6466266,,University of Minnesota,,,,,,,,
Whitey Von Nieda,6168,19/06/1922,1950,1950,G-F,6,1,185.42,182.42,,,,,,,170,77.1107029,,Pennsylvania State University,,,,,,,,
Wil Jones,6169,27/02/1947,1970,1978,F,6,8,203.2,200.2,,,,,,,205,92.98643585,,Albany State University,,,,,,,,
Wilber Kirkland,6170,1899-12-31,1970,1970,F,6,7,200.66,197.66,,,,,,,190,86.1825503,,Cheyney University of Pennsylvania,,,,,,,,
Wilbert Kautz,6171,07/09/1915,1947,1947,G-F,6,0,182.88,179.88,,,,,,,180,81.6466266,,Loyola University of Chicago,,,,,,,,
Wilbert Robinson,6172,25/12/1949,1974,1974,G,6,2,187.96,184.96,,,,,,,175,79.37866475,,West Virginia University,,,,,,,,
Wilbur Holland,6173,08/11/1951,1976,1979,G,6,0,182.88,179.88,,,,,,,175,79.37866475,,University of New Orleans,,,,,,,,
Wiley Peck,6174,15/09/1957,1980,1980,G,6,7,200.66,197.66,,,,,,,220,99.7903214,,Mississippi State University,,,,,,,,
Will Clyburn,6175,,,,SF,6,7,201,197,214,267,9.249999991,23.495,,26.035,210.4,95.43583465,0.0685,,11.68,3.12,3.38,28,34.5,3,71.12,87.63
Will Frazier,6176,24/08/1942,1966,1969,C-F,6,7,200.66,197.66,,,,,,,210,95.2543977,,Grambling State University,,,,,,,,
Will McDonald,6177,,,,C,6,10.25,209,206,222,278,,,,0,258,117.0268315,0.136,,11.83,,3.42,25,32.5,17,63.5,
Will Perdue,6178,29/08/1965,1989,2001,C,7,0,213.36,210.36,,,,,,,240,108.8621688,,Vanderbilt University,,,,,,,,
William Avery,6179,08/08/1979,2000,2002,G,6,2,187.96,184.96,,,,,,,197,89.35769689,,Duke University,,,,,,,,
William Bedford,6180,14/12/1963,1987,1993,C,7,0,213.36,210.36,,,,,,,225,102.0582833,,University of Memphis,,,,,,,,
William Buford,6181,,,,SG,6,4.75,195,194,206,259,8.749999991,22.225,,25.4,214.6,97.3409226,0.113,,11.4,,3.43,27.5,32.5,8,69.85,
William Cunningham,6182,25/03/1974,1998,1999,C,6,11,210.82,207.82,,,,,,,250,113.3980925,,Temple University,,,,,,,,
William Franklin,6183,19/10/1949,1973,1976,F,6,7,200.66,197.66,,,,,,,220,99.7903214,,Purdue University,,,,,,,,
William Smith,6184,14/02/1949,1972,1973,C,7,0,213.36,210.36,,,,,,,220,99.7903214,,Syracuse University,,,,,,,,
Willie Allen,6185,08/02/1949,1972,1972,F,6,6,198.12,195.12,,,,,,,230,104.3262451,,University of Miami,,,,,,,,
Willie Anderson,6186,08/01/1967,1989,1997,G-F,6,7,200.66,197.66,,,,,,,190,86.1825503,,University of Georgia,,,,,,,,
Willie Burton,6187,26/05/1968,1991,1999,F-G,6,8,203.2,200.2,,,,,,,210,95.2543977,,University of Minnesota,,,,,,,,
Willie Davis,6188,09/08/1945,1971,1971,C,6,8,203.2,200.2,,,,,,,234,106.1406146,,University of North Texas,,,,,,,,
Willie Iverson,6189,08/10/1945,1969,1969,G,6,0,182.88,179.88,,,,,,,180,81.6466266,,Central Michigan University,,,,,,,,
Willie Jones,6190,29/06/1936,1961,1965,G,6,3,190.5,187.5,,,,,,,185,83.91458845,,Northwestern University,,,,,,,,
Willie Long,6191,01/03/1950,1972,1974,F-C,6,8,203.2,200.2,,,,,,,225,102.0582833,,University of New Mexico,,,,,,,,
Willie McCarter,6192,26/07/1946,1970,1972,G,6,3,190.5,187.5,,,,,,,175,79.37866475,,Drake University,,,,,,,,
Willie Murrell,6193,13/09/1941,1968,1970,F,6,6,198.12,195.12,,,,,,,225,102.0582833,,Kansas State University,,,,,,,,
Willie Naulls,6194,07/10/1934,1957,1966,F-C,6,6,198.12,195.12,,,,,,,225,102.0582833,,"University of California, Los Angeles",,,,,,,,
Willie Norwood,6195,08/08/1947,1972,1978,F,6,7,200.66,197.66,,,,,,,220,99.7903214,,Alcorn State University,,,,,,,,
Willie Porter,6196,03/07/1942,1968,1969,F,6,7,200.66,197.66,,,,,,,205,92.98643585,,Tennessee State University,,,,,,,,
Willie Rogers,6197,11/09/1945,1969,1969,G-F,6,3,190.5,187.5,,,,,,,185,83.91458845,,University of Oklahoma,,,,,,,,
Willie Scott,6198,22/05/1947,1970,1970,F,6,5,195.58,192.58,,,,,,,210,95.2543977,,Alabama State University,,,,,,,,
Willie Smith,6199,26/10/1953,1977,1980,G,6,2,187.96,184.96,,,,,,,170,77.1107029,,University of Missouri,,,,,,,,
Willie Sojourner,6200,10/09/1948,1972,1975,C-F,6,8,203.2,200.2,,,,,,,225,102.0582833,,Weber State University,,,,,,,,
Willie Somerset,6201,17/03/1942,1966,1969,G,5,8,172.72,169.72,,,,,,,170,77.1107029,,Duquesne University,,,,,,,,
Willie White,6202,20/08/1962,1985,1986,G,6,3,190.5,187.5,,,,,,,195,88.45051215,,University of Tennessee at Chattanooga,,,,,,,,
Willie Williams,6203,28/07/1946,1971,1971,F,6,7,200.66,197.66,,,,,,,200,90.718474,,Florida State University,,,,,,,,
Willie Wise,6204,03/03/1947,1970,1978,F,6,5,195.58,192.58,,,,,,,210,95.2543977,,Drake University,,,,,,,,
Willie Worsley,6205,13/11/1945,1969,1969,G,5,9,175.26,172.26,,,,,,,175,79.37866475,,University of Texas at El Paso,,,,,,,,
Willis Reed,6206,25/06/1942,1965,1974,C-F,6,9,205.74,202.74,,,,,,,235,106.594207,,Grambling State University,,,,,,,,
Willis Thomas,6207,1899-12-31,1968,1968,G,6,2,187.96,184.96,,,,,,,185,83.91458845,,Tennessee State University,,,,,,,,
Wilson Washington,6208,03/08/1955,1978,1979,F-C,6,9,205.74,202.74,,,,,,,227,102.965468,,Old Dominion University,,,,,,,,
Wilt Chamberlain,6209,21/08/1936,1960,1973,C,7,1,215.9,212.9,,,,,,,275,124.7379018,,University of Kansas,,,,,,,,
Win Wilfong,6210,18/03/1933,1958,1961,G-F,6,2,187.96,184.96,,,,,,,185,83.91458845,,University of Memphis,,,,,,,,
Winford Boynes,6211,17/05/1957,1979,1981,G-F,6,6,198.12,195.12,,,,,,,185,83.91458845,,University of San Francisco,,,,,,,,
Winston Bennett,6212,09/02/1965,1990,1992,F,6,7,200.66,197.66,,,,,,,210,95.2543977,,University of Kentucky,,,,,,,,
Winston Crite,6213,20/06/1965,1988,1989,F,6,7,200.66,197.66,,,,,,,233,105.6870222,,Texas A&M University,,,,,,,,
Winston Garland,6214,19/12/1964,1988,1995,G,6,2,187.96,184.96,,,,,,,170,77.1107029,,Missouri State University,,,,,,,,
Woody Grimshaw,6215,24/09/1919,1947,1947,G,6,1,185.42,182.42,,,,,,,185,83.91458845,,Brown University,,,,,,,,
Woody Sauldsberry,6216,11/07/1934,1958,1966,F-C,6,7,200.66,197.66,,,,,,,220,99.7903214,,Texas Southern University,,,,,,,,
World B. Free,6217,09/12/1953,1976,1988,G,6,2,187.96,184.96,,,,,,,185,83.91458845,,Guilford College,,,,,,,,
Worthy Patterson,6218,17/06/1931,1958,1958,G,6,2,187.96,184.96,,,,,,,175,79.37866475,,University of Connecticut,,,,,,,,
Wyndol Gray,6219,20/03/1922,1947,1948,G-F,6,1,185.42,182.42,,,,,,,175,79.37866475,,Harvard University,,,,,,,,
Xavier McDaniel,6220,04/06/1963,1986,1998,F,6,7,200.66,197.66,,,,,,,205,92.98643585,,Wichita State University,,,,,,,,
Xavier Thames,6221,,,,PG,6,3.75,192,189,194,244,8.249999992,20.955,,22.86,187,84.82177319,0.064,,11.48,3.02,3.48,29,32.5,,73.66,82.55
Xavier Tillman Sr.,6222,,,,PF,6,8.5,204,202,220,270,10.24999999,26.035,,27.94,266.5,120.8823666,0.085,,,,,,,,,
Yemi Nicholson,6223,,,,PF,6,9,206,203,224,272,,,,0,258,117.0268315,0.172,,12.57,,3.65,26.5,26,8,67.31,
Yinka Dare,6224,10/10/1972,1995,1998,C,7,0,213.36,210.36,,,,,,,265,120.2019781,,George Washington University,,,,,,,,
Yoeli Childs,6225,,,,PF,6,7,201,198,212,270,8.749999991,22.225,,25.4,226.4,102.6933126,0.082,,,,,,,,,
York Larese,6226,18/07/1938,1962,1962,G,6,4,193.04,190.04,,,,,,,183,83.00740371,,University of North Carolina,,,,,,,,
Yvon Joseph,6227,31/10/1957,1986,1986,C,6,11,210.82,207.82,,,,,,,245,111.1301307,,Georgia Institute of Technology,,,,,,,,
Zach Marbury,6228,,,,G,6,2.5,189,186,192,245,,,,0,183,83.00740371,0.067,,11.53,,3.1,33,36.5,,83.82,92.71
Zach Norvell Jr.,6229,,,,SG,6,5,196,195,198,257,8.499999991,21.59,,24.13,206.4,93.62146517,0.075,,11.6,3.34,3.43,24,30,,60.96,
Zaid Abdul-Aziz,6230,07/04/1946,1969,1978,C-F,6,9,205.74,202.74,,,,,,,235,106.594207,,Iowa State University,,,,,,,,
Zan Tabak,6231,15/06/1970,1995,2001,C,7,0,213.36,210.36,,,,,,,245,111.1301307,,,,,,,,,,
Zarko Paspalj,6232,27/03/1966,1990,1990,F,6,9,205.74,202.74,,,,,,,215,97.52235955,,,,,,,,,,
Zeke Nnaji,6233,,,,C,6,10.75,210,206,220,268,8.999999991,22.86,,26.67,246.8,111.9465969,0.059,,,,,,,,,
Zeke Sinicola,6234,25/01/1929,1952,1954,G,5,10,177.8,174.8,,,,,,,165,74.84274105,,Niagara University,,,,,,,,
Zeke Zawoluk,6235,13/10/1930,1953,1955,F-C,6,7,200.66,197.66,,,,,,,215,97.52235955,,St. John's University,,,,,,,,
Zelmo Beaty,6236,25/10/1939,1963,1975,C,6,9,205.74,202.74,,,,,,,225,102.0582833,,Prairie View A&M University,,,,,,,,
Andrew Bogut,101106,28/11/1984,2006,2018,C,7,0,213.36,211,220.98,280.67,,,,0,260,113.6702479,,University of Utah,12.06,,3.51,27.5,33.5,13,69.85,
Marvin Williams,101107,19/06/1986,2006,2018,F,6,9,205.74,201,222.25,274.32,,,,0,237,103.5097788,,University of North Carolina,11.11,,3.17,29.5,35,12,74.93,88.9
Chris Paul,101108,06/05/1985,2006,2018,G,6,0,182.88,182,193.675,236.22,,,,0,175,80.73944186,,Wake Forest University,11.09,,3.22,32,38,10,81.28,96.52
Raymond Felton,101109,26/06/1984,2006,2018,G,6,1,185.42,182,193.675,248.92,,,,0,205,90.44631858,,University of North Carolina,10.5,,3.06,29,33.5,6,73.66,85.09
Martell Webster,101110,04/12/1986,2006,2015,G-F,6,7,200.66,198,210.82,269.24,,,,0,230,104.1448082,,,11.39,,3.39,28,30.5,7,71.12,77.47
Charlie Villanueva,101111,24/08/1984,2006,2016,F,6,11,210.82,205,213.995,276.86,,,,0,232,107.3199547,,University of Connecticut,10.86,,3.3,26,31,11,66.04,
Channing Frye,101112,17/05/1983,2006,2018,C-F,6,11,210.82,206,219.71,280.67,,,,0,255,110.4951013,,University of Arizona,11.6,,3.38,27.5,31,19,69.85,
Ike Diogu,101113,11/09/1983,2006,2012,F,6,8,203.2,199,222.25,276.86,,,,0,250,115.8474913,,Arizona State University,11.94,,3.45,28,31,21,71.12,78.74
Deron Williams,101114,26/06/1984,2006,2017,G,6,3,190.5,188,198.755,248.92,,,,0,200,91.80709569,,University of Illinois at Urbana-Champaign,10.83,,3.25,30,35,15,76.2,88.9
Andrew Bynum,101115,27/10/1987,2006,2014,C,7,0,213.36,210.36,,,,,,,285,129.2738255,,,,,,,,,,
Yaroslav Korolev,101117,07/05/1987,2006,2007,F,6,9,205.74,202.74,,,,,,,203,92.07925111,,,,,,,,,,
Sean May,101118,04/04/1984,2006,2010,F,6,9,205.74,201,216.535,266.7,,,,0,266,117.3897054,,University of North Carolina,11.04,,3.29,30,33,12,76.2,83.82
Rashad McCants,101119,25/09/1984,2006,2009,G,6,4,193.04,190,210.185,262.89,,,,0,207,91.17206637,,University of North Carolina,10.39,,3.11,32.5,34.5,15,82.55,87.63
Antoine Wright,101120,06/02/1984,2006,2011,G-F,6,7,200.66,196,205.105,265.43,,,,0,210,91.89781416,,Texas A&M University,11.45,,3.41,26.5,29.5,12,67.31,
Joey Graham,101121,11/06/1982,2006,2011,F,6,7,200.66,196,203.2,264.16,,,,0,225,98.24810734,,Oklahoma State University,10.62,,3.05,30,36,26,76.2,91.44
Danny Granger,101122,20/04/1983,2006,2015,F,6,9,205.74,202,217.17,261.62,,,,0,222,102.2397202,,University of New Mexico,10.84,,3.34,31,34,10,78.74,86.36
Gerald Green,101123,26/01/1986,2006,2017,G-F,6,7,200.66,198,207.645,264.16,,,,0,205,87.08973504,,,11.2,,3.21,31.5,39,7,80.01,99.06
Hakim Warrick,101124,08/07/1982,2006,2013,F,6,9,205.74,202,218.44,274.32,,,,0,219,97.52235955,,Syracuse University,,,3.22,33,38,11,83.82,96.52
Julius Hodge,101125,18/11/1983,2006,2007,G,6,7,200.66,198,214.63,273.05,,,,0,210,91.71637721,,North Carolina State University,10.89,,3.18,24.5,29,14,62.23,
Nate Robinson,101126,31/05/1984,2006,2016,G,5,9,175.26,172,185.42,232.41,,,,0,180,82.10021897,0.067,University of Washington,10.75,,2.96,35.5,43.5,13,90.17,110.49
Jarrett Jack,101127,28/10/1983,2006,2018,G,6,3,190.5,189,201.93,254,,,,0,200,89.62985231,,Georgia Institute of Technology,10.87,,3.24,26,28.5,5,66.04,
Francisco Garcia,101128,31/12/1981,2006,2015,F-G,6,7,200.66,197,210.185,261.62,,,,0,195,86.00111335,,University of Louisville,10.63,,3.33,27.5,31.5,5,69.85,
Luther Head,101129,26/11/1982,2006,2011,G,6,3,190.5,188,196.215,250.19,,,,0,185,81.10231576,,University of Illinois at Urbana-Champaign,11.12,,3.21,31.5,38.5,14,80.01,97.79
Johan Petro,101130,27/01/1986,2006,2013,C,7,0,213.36,210.36,,,,,,,247,112.0373154,,,,,,,,,,
Jason Maxiell,101131,18/02/1983,2006,2015,F,6,7,200.66,195,221.615,271.78,,,,0,260,116.8453945,,University of Cincinnati,,,,,,,,
Linas Kleiza,101132,03/01/1985,2006,2013,F,6,8,203.2,200.2,,,,,,,245,111.1301307,,University of Missouri,,,,,,,,
Ian Mahinmi,101133,05/11/1986,2008,2018,C,6,11,210.82,207.82,,,,,,,250,113.3980925,,,,,,,,,,
Wayne Simien,101134,09/03/1983,2006,2007,F,6,9,205.74,202,213.36,271.78,,,,0,255,116.0289282,,University of Kansas,11.05,,3.35,27,27.5,11,68.58,
David Lee,101135,,2006,2017,F,6,9,205.74,203,213.36,270.51,,,,0,245,104.0994489,,University of Florida,10.8,,3.19,30.5,32.5,14,77.47,82.55
Salim Stoudamire,101136,11/10/1982,2006,2008,G,6,1,185.42,182.42,,,,,,,179,81.19303423,,University of Arizona,,,,,,,,
Daniel Ewing,101137,26/03/1983,2006,2007,G,6,3,190.5,187.5,,,,,,,185,83.91458845,,Duke University,,,,,,,,
Brandon Bass,101138,30/04/1985,2006,2017,F,6,8,203.2,199,219.71,270.51,,,,0,250,111.583723,0.093,Louisiana State University,11.61,,3.24,31.5,33,18,80.01,83.82
C.J. Miles,101139,18/04/1987,2006,2018,G-F,6,6,198.12,195.12,,,,,,,225,102.0582833,,,,,,,,,,
Ersan Ilyasova,101141,15/05/1987,2007,2018,F,6,10,208.28,203,216.535,278.13,,,,0,235,94.71008686,,,11.59,,3.56,22,30,2,55.88,
Ronny Turiaf,101142,13/01/1983,2006,2015,F,6,10,208.28,203,217.17,270.51,,,,0,249,107.8642656,,Gonzaga University,11.5,,3.23,30.5,33,15,77.47,83.82
Travis Diener,101143,01/03/1982,2006,2010,G,6,1,185.42,182,182.245,237.49,,,,0,175,74.93345952,,Marquette University,10.85,,3.26,24.5,31,1,62.23,
Von Wafer,101144,21/07/1985,2006,2012,G,6,5,195.58,192.58,,,,,,,210,95.2543977,,Florida State University,,,,,,,,
Monta Ellis,101145,26/10/1985,2006,2017,G,6,3,190.5,189,189.865,248.92,,,,0,185,80.10441254,,,12.13,,3.31,26.5,31.5,,67.31,
Roko Ukic,101146,12/05/1984,2009,2010,G,6,5,195.58,192.58,,,,,,,183,83.00740371,,,,,,,,,,
Chris Taft,101147,10/03/1985,2006,2006,F,6,10,208.28,204,217.805,276.86,,,,0,260,118.3876086,,University of Pittsburgh,11.26,,3.27,28.5,33,14,72.39,83.82
Mile Ilic,101148,02/06/1984,2007,2007,C,7,1,215.9,212.9,,,,,,,230,104.3262451,,,,,,,,,,
Martynas Andriuskevicius,101149,12/03/1986,2006,2006,C,7,2,218.44,217,211.455,285.75,,,,0,240,103.3283419,,,11.94,,3.42,24,27.5,,60.96,
Lou Williams,101150,27/10/1986,2006,2018,G,6,1,185.42,182.42,,,,,,,175,79.37866475,,,,,,,,,,
Bracey Wright,101152,01/07/1984,2006,2007,G,6,3,190.5,186,208.28,255.27,,,,0,210,84.73105472,,Indiana University,11.58,,3.27,30,36,8,76.2,91.44
